鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
大安區,房地(土地+建物),和平東路二段265巷25弄1~30號,21.91,都市：其他:第三種住宅區。,,,1100219,土地1建物1車位0,一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,111.22,3,2,2,有,有,22980000,206636,,0.0,0,,RPRPMLSKLHGGFFA18EA,83.5,9.32,0.0,,
大安區,房地(土地+建物),金山南路二段181~210號,20.11,都市：其他:第三之一種住宅區(特)。,,,1100121,土地4建物1車位0,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080910,130.47,2,2,2,有,有,45700000,350245,,0.0,0,,RPTNMLTKLHGGFFA28EA,80.73,0.0,6.28,,
北投區,房地(土地+建物),光明路241~270號,7.73,都市：其他:特定觀光商業專用區。,,,1100302,土地1建物1車位0,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980818,53.06,1,1,1,有,有,8080000,152280,,0.0,0,陽台外推;,RPROMLTKLHGGFEA08EA,28.23,1.22,3.4,,
信義區,房地(土地+建物),基隆路二段121~150號,6.82,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100208,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031029,83.43,0,1,1,有,有,23500000,281673,,0.0,0,,RPRPMLTKLHGGFDA08EA,49.53,1.77,5.15,有,040
南港區,房地(土地+建物)+車位,玉成街61~90號,22.98,都市：其他:第一種商業區(依都市計畫說明書圖規定辦理)。,,,1100206,土地1建物1車位2,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造；鋼骨造,0931216,254.1,2,2,2,有,有,48500000,251039,坡道平面,80.82,5000000,,RPQPMLMKLHGGFDA27EA,107.04,0.0,16.02,,
內湖區,房地(土地+建物)+車位,文湖街31~60號,34.39,都市：其他:市場用地(公共設施用地)。64/8/1,,,1100217,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991230,313.52,4,2,3,有,有,66000000,210513,坡道平面,54.1,0,,RPUNMLTKLHGGFCA08EA,157.79,9.24,19.32,,
中山區,房地(土地+建物),中山北路二段151~180號,6.67,都市：其他:第三種商業區。,,,1100221,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0951129,60.2,2,1,1,有,有,16830000,279568,,0.0,0,陽台外推;,RPVQMLTKLHGGFCA48EA,40.86,0.0,4.21,,
大安區,房地(土地+建物),敦化南路二段63巷1~30號,20.54,都市：其他:敦化南北路特定專用區(B區)(依都市計畫說明書圖規定辦理)(原屬第參種住宅區及第參之貳種住宅區)。,,,1100126,土地1建物2車位0,二十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720714,213.44,3,2,2,有,有,63770000,298772,,0.0,0,陽台外推;,RPRPMLOLKHGGFFA67DA,137.95,0.0,24.18,,
大安區,房地(土地+建物),建國南路一段279巷1~30號,11.54,都市：其他:道路用地(公共設施用地)。68/11/13,,,1100203,土地2建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760216,84.62,2,2,1,有,有,22920000,270858,,0.0,0,陽台外推;,RPROMLMJLHGGFFA27DA,73.2,0.0,11.42,,
信義區,房地(土地+建物)+車位,松智路1~30號,149.32,都市：其他:住宅區(信義計畫特定專用區)。,,,1091226,土地1建物1車位3,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0910903,595.01,4,2,4,有,有,267300000,449236,坡道平面,0.0,0,其他增建;,RPOOMLMKLHGGFDA86DA,263.52,0.0,33.61,,
