鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
豐原區,房地(土地+建物),中正路695巷1~30號,9.5,都市：其他:住宅區,,,1091225,土地1建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820208,94.19,3,1,2,有,有,1200000,12740,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPWNMLRKLHGGFDB18DA,66.53,6.77,0.0,,
南屯區,房地(土地+建物)+車位,河南路四段690巷1~30號,24.38,都市：其他:第二種住宅區,,,1091117,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950222,238.43,3,2,3,有,有,18000000,75494,坡道平面,0.0,0,,RPOVMLMLLHGGFCB77EA,139.51,17.77,0.0,,
南屯區,房地(土地+建物),大墩一街31~60號,14.69,都市：其他:第二種住宅區,,,1100126,土地1建物1車位0,十五層，十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830503,164.75,2,2,2,有,有,8500000,51593,,0.0,0,,RPTNMLMLLHGGFCB47EA,109.22,14.03,0.0,,
南屯區,房地(土地+建物)+車位,黎明路二段421~450號,15.82,都市：其他:第二種住宅區,,,1091230,土地1建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840919,166.45,4,2,2,有,有,9050000,54371,升降機械,0.0,0,,RPSTMLMLLHGGFCB97EA,96.64,14.57,0.0,,
南屯區,房地(土地+建物)+車位,大墩11街181~210號,16.06,都市：其他:第二種住宅區,,,1100125,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830711,165.52,2,2,2,有,有,10250000,61926,坡道平面,0.0,0,,RPSSMLNLLHGGFCB97EA,106.2,25.89,0.0,,
中區,房地(土地+建物),成功路306巷1~30號,4.01,都市：其他:第二種商業區,,,1100228,土地1建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821102,44.120000000000005,1,0,1,有,有,1705000,38645,,0.0,0,,RPUPMLMLLHGGFAB57EA,29.99,2.32,0.0,有,0156
沙鹿區,房地(土地+建物),向上路七段31~60號,17.97,都市：其他:第二種商業區,,,1100202,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880913,110.7,3,2,2,有,有,4200000,37940,,0.0,0,,RPPOMLMLLHGGFFB37DA,77.01,7.64,0.0,,
西屯區,房地(土地+建物)+車位,上安北街1~30號,30.19,都市：其他:第二種住宅區,,,1100225,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030528,234.92000000000002,3,2,2,有,有,19250000,81943,坡道平面,49.96,0,,RPXNMLMLLHGGFCB77DA,109.78,15.14,0.0,有,0171
南屯區,房地(土地+建物)+車位,惠中路三段61~90號,12.64,都市：其他:第二種商業區,,,1100131,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950113,129.24,2,2,1,有,有,11880000,91922,坡道平面,12.95,0,,RPTRMLMLLHGGFCB77DA,56.46,6.79,0.0,有,0172
南屯區,房地(土地+建物)+車位,文心路一段211~240號,9.96,都市：其他:第二種住宅區,,,1100209,土地1建物1車位1,十四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841024,152.26999999999998,3,2,2,有,有,11100000,72897,坡道平面,0.0,0,陽台外推;,RPOQMLMLLHGGFCB17DA,84.65,10.87,0.0,,
南屯區,房地(土地+建物)+車位,公益路二段361~390號,13.53,都市：其他:第三種住宅區。,,,1100228,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,0930209,155.3,4,2,2,有,有,13600000,87572,坡道平面,13.27,0,陽台外推;,RPXPMLNLLHGGFCB08DA,77.82,22.42,0.0,有,0173
南屯區,房地(土地+建物),公益路二段331~360號,10.46,都市：其他:第三種住宅區。,,,1100301,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,0930209,109.41,3,2,2,有,有,8960000,81894,,0.0,0,含土地增值稅或其他稅費;含仲介費;,RPUQMLNLLHGGFCB87DA,58.63,18.33,0.0,有,0174
豐原區,房地(土地+建物),向陽路31~60號,3.44,都市：其他:第二種商業區,,,1100304,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860602,36.1,1,0,1,有,有,2720000,75346,,0.0,0,,RPUOMLPJLHGGFDB77DA,21.41,2.26,0.0,,
南屯區,房地(土地+建物)+車位,向心路91~120號,4.36,都市：其他:第三種住宅區。,,,1100306,土地1建物1車位1,二十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861216,64.55000000000001,1,1,1,有,有,4280000,66305,坡道平面,13.49,0,,RPXRMLRKLHGGFCB58DA,26.45,3.65,0.0,,
西屯區,房地(土地+建物)+車位,工業區一路61~90號,24.62,都市：其他:第三種住宅區。,,,1100220,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981106,243.95999999999998,4,2,2,有,有,18980000,77800,坡道平面,24.9,0,,RPTRMLLKLHGGFCB57DA,136.82,18.41,0.0,,
西屯區,房地(土地+建物)+車位,市政北五路241~270號,15.17,都市：其他:第六種新市政中心專用區,,,1100228,土地1建物1車位1,二十一層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891117,188.14,3,2,2,有,有,28400000,152284,坡道平面,14.78,2000000,其他增建;,RPVNMLSLKHGGFCB08DA,116.55,15.05,0.0,,
南屯區,房地(土地+建物)+車位,大聖街151~180號,25.45,都市：其他:第二種住宅區,,,1100204,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880211,285.58,3,2,2,有,有,21000000,73535,坡道平面,0.0,0,,RPVSMLOJLHGGFCB08DA,143.17,23.64,0.0,,
西屯區,房地(土地+建物)+車位,至善路31~60號,8.37,都市：其他:市場用地,,,1100126,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870603,110.2,3,2,2,有,有,8100000,73503,坡道機械,11.63,0,陽台外推;,RPWPMLSJLHGGFCB28DA,63.87,10.44,0.0,有,0186
西屯區,房地(土地+建物)+車位,工業區一路98巷1~30號,20.55,都市：其他:第二種住宅區,,,1100218,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840110,123.60000000000001,3,2,1,有,有,6900000,55825,坡道機械,0.0,0,,RPSTMLNJLHGGFCB77DA,79.27,12.35,0.0,,
北屯區,房地(土地+建物)+車位,瀋陽路二段31~60號,50.72,都市：其他:第二種住宅區,,,1091227,土地1建物2車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831020,389.73,6,3,5,有,有,18200000,46699,坡道平面,0.0,0,,RPRNMLNLLHGGFBB17DA,271.42,0.0,37.88,,
北屯區,房地(土地+建物)+車位,崇德十一路31~60號,22.84,都市：其他:第一種商業區,,,1100206,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950516,152.42000000000002,3,2,2,有,有,12160000,79780,坡道平面,0.0,0,,RPTOMLMLLHGGFBB37DA,75.73,6.63,9.97,,
北區,房地(土地+建物),進化路571~600號,2.69,都市：其他:第三種住宅區。,,,1100228,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800606,38.12,1,1,1,有,有,2300000,60336,,0.0,0,,RPRNMLMLLHGGFBB07DA,24.22,0.0,1.34,有,0191
北區,房地(土地+建物),漢口路四段91~120號,2.23,都市：其他:第二種住宅區,,,1100313,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850716,31.060000000000002,1,0,1,有,有,2080000,66967,,0.0,0,,RPUNMLNKLHGGFBB37DA,17.16,0.0,2.34,,
北區,房地(土地+建物),陝西路91~120號,7.36,都市：其他:第二種住宅區,,,1100128,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781102,101.03999999999999,2,2,1,有,有,5500000,54434,,0.0,0,,RPXNMLSKKHGGFBB08DA,69.75,0.0,0.0,有,0200
南區,房地(土地+建物),工學路126巷31~60號,14.83,都市：其他:道路用地,,,1091213,土地2建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841130,112.80000000000001,3,2,2,有,有,5600000,49645,,0.0,0,,RPSNMLLLLHGGFAB96DA,76.33,8.82,0.0,,
東區,房地(土地+建物)+車位,十甲路421~450號,14.65,都市：其他:第二種住宅區,,,1100117,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830714,214.47,4,2,2,有,有,11560000,53900,坡道機械,0.0,0,陽台外推;其他增建;,RPTNMLTKLHGGFAB77DA,97.12,96.82,0.0,有,0202
南區,房地(土地+建物)+車位,工學二街151巷31~60號,21.95,都市：其他:第三種住宅區。,,,1100222,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,148.49,3,2,2,有,無,8060000,54280,坡道平面,0.0,0,,RPSOMLSKLHGGFAB67DA,103.34,9.06,0.0,有,0203
南區,房地(土地+建物),復興路二段71巷1~30號,10.69,非都市： ; 非都市編定：,,,1100221,土地2建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840112,99.4,2,2,1,有,有,5150000,51811,,0.0,0,,RPTOMLPLKHGGFAB47DA,72.23,3.89,0.0,,
南區,房地(土地+建物),建國南路一段241~270號,8.85,都市：其他:第三種住宅區。,,,1100222,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890505,93.87,2,2,1,有,有,6000000,63918,,0.0,0,,RPQOMLMLKHGGFAB86DA,57.25,8.54,0.0,有,0207
東區,房地(土地+建物)+車位,十甲路421~450號,14.65,都市：其他:第二種住宅區,,,1100127,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830714,125.15,4,2,2,有,有,7500000,59928,坡道機械,0.0,0,陽台外推;,RPXOMLSLJHGGFAB08DA,97.12,7.5,0.0,,
南區,房地(土地+建物),學府路121~150號,12.44,都市：其他:第二種住宅區,,,1091218,土地1建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860925,114.69999999999999,3,2,2,有,有,6500000,56670,,0.0,0,,RPPPMLMLLHGGFAB96DA,72.76,8.65,0.0,有,0215
北區,房地(土地+建物)+車位,五常街361~390號,3.06,都市：其他:第一種商業區,,,1100111,土地1建物1車位1,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,58.629999999999995,1,1,1,有,有,4170000,71124,坡道平面,24.79,0,,RPWNMLKLLHGGFBB37DA,19.64,0.0,1.17,,
西屯區,房地(土地+建物),福科路931~960號,13.03,都市：其他:第三之一種住宅區,,,1100207,土地2建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831021,112.37,3,2,2,有,有,5700000,50725,,0.0,0,,RPVNMLRJKHGGFCB77DA,72.96,14.59,0.0,,
西屯區,房地(土地+建物),福星路151~180號,6.73,都市：其他:第二種住宅區,,,1100227,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960929,50.89,1,1,1,有,有,5280000,103753,,0.0,0,陽台外推;,RPPNMLRLKHGGFCB37DA,30.87,6.21,0.0,,
西屯區,房地(土地+建物)+車位,臺灣大道三段571~600號,38.28,都市：其他:第三種商業區,,,1100116,土地1建物1車位2,二十二層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991021,547.98,0,0,0,無,有,48000000,87594,坡道平面,56.24,0,毛胚屋;,RPXQMLNLLHGGFCB18DA,277.51,58.83,0.0,,
南屯區,房地(土地+建物)+車位,大墩四街541~570號,28.58,都市：其他:第三種商業區,,,1100227,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911211,241.75,3,2,2,有,有,18300000,75698,坡道機械,12.12,0,,RPSVMLMLLHGGFCB08DA,128.49,27.84,0.0,,
西屯區,房地(土地+建物)+車位,臺灣大道四段1261~1290號,15.49,都市：其他:第三之一種住宅區,,,1100224,土地1建物1車位1,十七層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020125,211.88,3,2,2,有,有,16800000,79290,坡道平面,0.0,0,含仲介費;僅車位交易;,RPTNMLOLLHGGFCB57DA,113.57,14.26,0.0,,
北屯區,房地(土地+建物)+車位,東山路一段211~240號,18.94,都市：其他:第三種住宅區。,,,1100222,土地1建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810519,172.12,4,2,2,有,有,7500000,43577,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPRNMLOLLHGGFBB37EA,116.29,0.0,8.02,,
西屯區,房地(土地+建物),黎明路三段301~330號,6.54,都市：其他:第二種商業區,,,1100219,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840220,49.0,1,0,1,有,有,2700000,55102,,0.0,0,,RPRPMLOLLHGGFCB67EA,28.09,5.6,0.0,,
西屯區,房地(土地+建物)+車位,西屯路三段151~180號,16.45,都市：其他:第六種住宅區,,,1100209,土地1建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031119,155.54,2,2,2,有,有,12500000,84765,坡道機械,19.87,1000000,其他增建;,RPRRMLOLLHGGFCB87EA,77.09,12.6,0.0,,
西屯區,房地(土地+建物)+車位,寧夏路121~150號,18.35,都市：其他:第二種住宅區,,,1100316,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880813,197.39,4,2,2,有,有,15300000,77512,坡道平面,0.0,0,,RPWOMLPLLHGGFCB08DA,102.34,15.78,0.0,,
南屯區,房地(土地+建物),河南路四段690巷1~30號,15.52,都市：其他:第二種住宅區,,,1100221,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950222,141.65,4,2,2,有,有,12320000,86975,,0.0,0,,RPPPMLOLLHGGFCB37DA,86.91,14.59,0.0,,
西屯區,房地(土地+建物)+車位,青海路二段301~330號,9.86,都市：其他:第三之二種住宅區,,,1100228,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,0940126,105.5,2,2,1,有,有,9360000,88720,坡道平面,0.0,1500000,其他增建;,RPPNMLSLKHGGFCB47DA,53.03,5.08,0.0,,
西屯區,房地(土地+建物)+車位,惠來路三段181~210號,14.29,都市：其他:第三之二種住宅區,,,1100306,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951219,164.6,3,2,2,有,有,14100000,89071,坡道平面,23.14,1500000,陽台外推;,RPQNMLQJLHGGFCB27DA,80.69,20.53,0.0,,
潭子區,房地(土地+建物),頭張路一段117巷17弄1~30號,2.36,都市：其他:商業區,,,1100314,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820511,21.79,1,1,1,有,有,1000000,45893,,0.0,0,,RPTOMLOLLHGGFHB18DA,14.81,1.38,0.0,,
潭子區,房地(土地+建物),得才街31~60號,8.95,都市：其他:商業區,,,1100216,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820511,84.16,3,2,1,有,有,4660000,55371,,0.0,0,,RPQOMLNLLHGGFHB77DA,56.69,10.66,0.0,,
西屯區,房地(土地+建物)+車位,黎明路三段151~180號,45.47,都市：其他:第二種住宅區,,,1100222,土地2建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021016,417.95,4,3,3,有,有,37400000,94358,坡道平面,57.62,3400000,陽台外推;其他增建;,RPXPMLMLKHGGFCB87DA,209.33,38.17,0.0,,
北屯區,房地(土地+建物),北屯路271~300號,3.38,都市：其他:第二種住宅區,,,1100310,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850524,36.64,1,0,1,有,有,2000000,54585,,0.0,0,,RPQOMLLLLHGGFBB96DA,19.86,0.0,3.6,有,0276
北屯區,房地(土地+建物)+車位,崇德路二段181~210號,21.64,都市：其他:第二種住宅區,,,1100218,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961231,197.32,3,2,2,有,有,13000000,65883,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUNMLOLLHGGFBB57DA,111.98,2.28,14.62,,
北屯區,房地(土地+建物)+車位,文心路四段631~660號,7.05,都市：其他:第四種商業區,,,1100227,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860416,102.83000000000001,3,2,2,有,有,6720000,65351,坡道機械,0.0,0,,RPVOMLOLLHGGFBB77DA,62.31,0.0,8.87,,
北區,房地(土地+建物),中清路一段601~630號,2.86,都市：其他:第二種住宅區,,,1100219,土地1建物1車位0,二十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880616,33.4,1,1,1,有,有,2080000,62275,,0.0,0,夾層;,RPXQMLPLLHGGFBB28DA,17.98,0.0,3.65,,
北屯區,房地(土地+建物),文心路四段271~300號,5.84,都市：其他:第三種住宅區。,,,1100301,土地1建物1車位0,十八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,62.95,1,1,1,有,有,6000000,95314,,0.0,0,,RPWRMLSKLHGGFBB48DA,34.99,1.67,5.83,,
北區,房地(土地+建物)+車位,進化北路391~420號,17.36,都市：其他:第三種住宅區。,,,1100217,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840601,158.09,4,3,4,有,有,8600000,54399,坡道機械,0.0,0,簽約人與登名人不同陽台外推;,RPRPMLPJLHGGFBB37DA,92.15,0.38,14.24,,
北屯區,房地(土地+建物)+車位,文心路四段271~300號,9.66,都市：其他:第三種住宅區。,,,1100222,土地1建物1車位1,十八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,105.93,2,2,2,有,有,8800000,83074,坡道機械,13.62,0,陽台外推;,RPWOMLPLKHGGFBB87DA,54.78,1.26,6.22,,
北屯區,房地(土地+建物),天津路四段301~330號,5.22,都市：其他:第一種商業區,,,1100202,土地1建物1車位0,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840626,52.739999999999995,1,1,1,有,有,2500000,47402,,0.0,0,,RPUPMLTKKHGGFBB08DA,32.25,0.0,2.0,,
西屯區,房地(土地+建物)+車位,惠中路二段31~60號,17.63,都市：其他:第四之一種商業區,,,1100126,土地1建物1車位2,二十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980619,267.86,3,2,2,有,有,30000000,122017,坡道平面,46.58,3000000,其他增建;,RPWUMLMLLHGGFCB48EA,133.98,21.83,0.0,有,0310
南屯區,房地(土地+建物)+車位,永春東路991~1020號,6.72,都市：其他:第二種住宅區,,,1100311,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960927,82.53,3,2,1,有,有,6600000,79971,坡道平面,0.0,0,,RPUNMLOLLHGGFCB77EA,36.6,5.28,0.0,,
西屯區,房地(土地+建物)+車位,永福路31~60號,12.93,非都市： ; 非都市編定：,,,1100221,土地2建物1車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830106,126.32,3,2,2,有,有,7880000,62381,坡道機械,0.0,600000,,RPOQMLQLLHGGFCB67EA,99.39,10.89,0.0,,
南區,房地(土地+建物),南和路181~210號,11.72,都市：其他:第三種住宅區。,,,1100307,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820519,111.61000000000001,2,2,1,有,有,6070000,54386,,0.0,0,,RPSNMLKKLHGGFAB76DA,75.62,8.39,0.0,,
東區,房地(土地+建物)+車位,十甲路391~420號,13.53,都市：其他:第二種住宅區,,,1100207,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830702,116.47,3,2,2,有,有,6500000,55808,坡道機械,0.0,0,,RPQNMLLLLHGGFAB76DA,84.77,10.44,0.0,,
南區,房地(土地+建物),美村南路61~90號,8.93,都市：其他:第三種住宅區。,,,1100227,土地1建物1車位0,十八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840315,128.67000000000002,3,2,2,有,有,7000000,54403,,0.0,0,,RPWNMLQLLHGGFAB87DA,84.88,13.71,0.0,,
北屯區,房地(土地+建物)+車位,松竹五路二段181~210號,15.92,都市：其他:第三種住宅區。,,,1100223,土地1建物1車位2,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020927,159.57999999999998,3,2,2,有,有,9800000,69546,坡道機械,35.92,1200000,,RPXPMLNLKHGGFBB87DA,79.02,0.0,4.21,,
北屯區,房地(土地+建物)+車位,崇德路二段346巷25弄1~30號,31.68,都市：其他:第二種住宅區,,,1100130,土地1建物1車位2,十五層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0811222,267.84,4,2,2,有,有,14500000,54137,坡道平面,0.0,0,,RPURMLPLKHGGFBB97DA,147.22,1.14,18.62,,
北屯區,房地(土地+建物),三光一街151~180號,27.96,都市：其他:第二種住宅區,,,1100310,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020201,164.19,3,2,2,有,有,12000000,73086,坡道平面,29.76,0,,RPVUMLLKLHGGFBB97DA,79.47,5.31,8.34,,
北屯區,房地(土地+建物)+車位,松竹路三段61~90號,22.75,都市：其他:第三之一種商業區,,,1100221,土地1建物1車位2,九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020910,291.52,4,2,3,有,有,24880000,85346,坡道平面,63.6,0,,RPQQMLTKLHGGFBB87DA,131.38,5.74,17.52,,
北屯區,房地(土地+建物)+車位,文心路四段271~300號,10.79,都市：其他:第三種住宅區。,,,1100228,土地1建物1車位1,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,126.83,2,2,2,有,有,9900000,78057,坡道平面,27.2,0,,RPPUMLRKLHGGFBB97DA,58.47,0.93,7.77,,
北屯區,房地(土地+建物),松竹路二段337巷1~30號,12.37,都市：其他:第二種住宅區,,,1100226,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821214,100.73,2,2,2,有,有,4650000,46163,,0.0,0,,RPWOMLOLLHGGFBB87DA,84.08,1.29,8.3,,
北屯區,房地(土地+建物)+車位,雷中街112巷28弄1~30號,14.92,都市：其他:第二種住宅區,,,1100309,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871111,165.91,4,2,2,有,有,7800000,47013,坡道平面,0.0,0,,RPRQMLPLLHGGFBB67DA,101.58,1.55,11.27,,
北區,房地(土地+建物),中清路一段601~630號,2.86,都市：其他:第二種住宅區,,,1100303,土地1建物1車位0,三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880616,33.93,1,0,1,有,有,1760000,51872,,0.0,0,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人或義務人自行提供成交案件實際資訊，供地政士申報登錄。,RPTQMLPLLHGGFBB87DA,17.28,0.0,5.26,,
北區,房地(土地+建物)+車位,興進路91~120號,15.38,都市：其他:第三種住宅區。,,,1100212,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860725,140.11,3,2,2,有,有,6750000,48176,坡道平面,0.0,0,,RPPQMLNLLHGGFBB27DA,82.7,1.33,12.05,,
北區,房地(土地+建物),漢口路四段61~90號,3.16,都市：其他:第二種住宅區,,,1100313,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850715,29.37,1,0,1,有,有,1700000,57882,,0.0,0,,RPOOMLOLLHGGFBB07DA,15.76,0.0,3.22,,
北區,房地(土地+建物)+車位,健行路421~450號,5.76,都市：其他:第二種住宅區,,,1100318,土地1建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840526,53.230000000000004,1,0,1,有,有,3650000,68570,坡道平面,0.0,0,,RPRNMLQLLHGGFBB47DA,18.18,0.0,4.32,有,0323
西屯區,房地(土地+建物)+車位,上石路181巷1~30號,11.59,都市：其他:第三種商業區,,,1100102,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961012,124.0,2,2,1,有,有,9800000,80361,坡道機械,13.25,900000,陽台外推;其他增建;,RPSQMLTJLHGGFCB08DA,60.95,13.4,0.0,,
西屯區,房地(土地+建物)+車位,工業區一路98巷1~30號,32.8,都市：其他:第二種住宅區,,,1100206,土地1建物1車位1,十三層，十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840110,203.17999999999998,5,2,2,有,有,12200000,60045,坡道機械,0.0,0,陽台外推;夾層;瑕疵物件;,RPRRMLSJLHGGFCB97DA,134.07,21.1,0.0,,
南屯區,房地(土地+建物),忠勇路91~120號,12.97,都市：其他:第二種住宅區,,,1100104,土地1建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830905,104.73,3,2,2,有,有,5000000,47742,,0.0,0,,RPRRMLSKLHGGFCB08DA,66.62,7.8,0.0,,
西屯區,房地(土地+建物)+車位,寶慶街50巷1~30號,9.69,都市：其他:第三種商業區,,,1100208,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891104,143.69,3,2,2,有,有,8900000,61939,坡道平面,16.63,0,,RPOQMLPLLHGGFCB47DA,76.26,15.09,0.0,有,0332
西屯區,房地(土地+建物)+車位,安和路189巷1~30號,20.78,都市：其他:第一種住宅區,,,1100120,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810519,136.96,3,1,2,有,有,6800000,49650,升降機械,16.86,0,親友、員工、共有人或其他特殊關係間之交易;,RPTOMLNLLHGGFCB57DA,112.5,11.27,0.0,,
西屯區,房地(土地+建物),青海路二段331~360號,14.63,都市：其他:第三之二種住宅區,,,1100118,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,0940126,145.05,3,2,2,有,有,11580000,79835,,0.0,0,陽台外推;,RPPRMLMLLHGGFCB37DA,94.5,13.14,0.0,有,0334
